fold, time, best_epoch, best_accuracy, best_validation_f1, best_test_f1
1,581.9807021617889,38,0.9904286308780691,0.9904199562823255,0.06677059947182416
2,725.3035702705383,50,0.9870833333333333,0.987082650398502,0.04598214852241394
3,856.517749786377,61,0.9875052061640983,0.9874934378577134,0.0547201015257944
4,783.2584507465363,55,0.9937552039966694,0.99374802621966,0.08218088214651087
5,836.2067875862122,59,0.9867330016583747,0.9867343509027073,0.060616472324100334
6,659.6588087081909,44,0.9810387469084914,0.9809969583226515,0.046807672298263624
7,762.3721063137054,53,0.9887966804979254,0.9887955743507119,0.048702696813968556
8,1026.2917804718018,75,0.9896565990897808,0.9896520506974488,0.08523592931219923
9,797.4236981868744,56,0.9863013698630136,0.9863136003475023,0.12178539149757929
10,1204.042545080185,90,0.9904722452361227,0.9904681424066952,0.13981282178170426
